Subject,Overall Frequency,tec,mas,fer,phy,bau,arc,geo,his,sow,elt,inf,oek,rel,jur,mat,pae,hor,meda,rest,cet,che,lin,phi,lit,bio,spo,ver,ber,med
Unternehmen,1966,61,7,3,0,1,0,5,8,219,4,195,907,0,72,20,387,0,46,15,6,0,4,2,1,1,1,1,0,0
Literatur,1950,2,1,0,0,0,3,10,143,85,0,3,0,42,4,0,31,0,8,23,1,0,384,30,1175,3,1,1,0,0
Nachhaltigkeit,1540,23,31,5,5,77,241,59,8,144,7,20,436,6,24,3,122,40,10,42,153,10,0,11,0,17,15,29,2,0
Architektur,1452,5,4,4,1,79,1030,24,97,62,8,11,11,6,2,3,61,0,2,16,3,0,3,4,5,1,7,2,1,0
Deutsch,1222,3,1,1,1,8,7,2,36,37,2,2,5,22,8,1,102,0,0,11,3,2,428,11,521,5,1,2,0,0
Management,1029,28,0,0,0,7,12,6,3,94,0,42,466,1,17,9,264,3,21,10,7,1,1,3,1,1,20,12,0,0
Digitalisierung,1017,43,7,0,1,8,27,10,10,161,10,95,276,5,42,6,202,5,15,44,5,0,12,15,10,1,0,6,0,1
Kind,1007,3,0,0,1,0,3,3,38,270,0,13,13,15,23,3,435,1,82,12,0,0,32,16,20,3,20,1,0,0
Politik,953,13,1,0,1,0,5,20,260,368,1,5,42,86,23,1,19,3,8,18,1,0,4,51,21,0,1,0,0,1
Kultur,908,4,1,0,0,3,27,27,271,185,2,9,19,59,8,3,44,8,15,17,3,0,44,28,103,9,11,7,1,0
Gesellschaft,842,15,1,0,1,2,36,35,113,310,0,24,46,70,14,4,61,2,11,24,4,1,4,43,12,2,7,0,0,0
Globalisierung,805,6,1,0,0,1,9,53,66,250,0,2,225,20,21,0,49,6,1,26,6,0,20,16,20,2,0,5,0,0
Stadtplanung,797,1,2,0,0,14,464,114,30,96,0,4,17,2,4,1,9,1,2,3,8,0,1,1,2,4,2,15,0,0
Englisch,796,4,2,1,2,9,7,3,20,22,2,1,9,1,2,1,35,0,1,7,3,5,275,0,376,5,0,3,0,0
Strategisches Management,789,21,0,0,0,5,6,2,1,51,0,34,425,0,3,6,208,0,2,8,6,0,0,0,0,0,3,7,0,1
Philosophie,778,10,0,0,39,0,16,0,25,63,2,10,11,33,3,17,50,0,8,23,1,2,23,377,59,6,0,0,0,0
Frau,768,11,0,0,1,1,8,5,120,353,0,2,41,53,20,2,62,1,12,9,0,0,3,10,49,0,5,0,0,0
Islam,732,0,0,0,0,0,6,5,108,160,0,1,6,389,14,2,17,0,2,7,0,0,1,9,3,2,0,0,0,0
Jugend,721,3,0,0,0,0,3,4,22,299,0,9,10,30,15,0,260,0,37,3,0,0,3,3,8,0,12,0,0,0
Statistik,719,8,3,0,14,2,1,15,2,68,3,64,105,0,1,355,30,2,9,7,6,5,1,0,1,13,2,2,0,0
Führung,712,6,0,0,0,3,3,0,3,194,0,3,315,0,4,0,172,0,3,0,1,0,0,3,0,0,2,0,0,0
Künstliche Intelligenz,692,28,6,1,4,2,8,7,3,48,7,349,42,2,37,35,24,1,19,10,4,3,3,27,6,2,1,7,1,5
Rezeption,686,2,1,0,4,2,34,4,123,72,0,0,7,72,16,1,36,0,1,39,1,0,37,55,176,2,1,0,0,0
Religion,654,0,0,0,4,1,2,4,86,127,0,0,6,320,17,1,9,0,3,5,0,0,7,43,15,3,1,0,0,0
Soziologie,649,6,1,0,1,1,15,11,19,403,1,12,29,13,6,6,46,1,9,15,0,0,3,36,8,0,5,2,0,0
Stadtentwicklung,649,2,0,0,0,5,309,130,27,110,0,2,26,0,4,1,9,2,1,1,10,0,0,1,0,0,0,9,0,0
Kommunikation,648,8,1,0,1,4,10,6,19,113,3,55,141,7,10,9,111,1,6,47,1,0,54,4,32,3,0,2,0,0
Demokratie,618,1,1,0,0,0,4,4,65,372,0,6,18,18,49,0,17,0,1,3,0,0,1,49,8,0,1,0,0,0
Wirtschaft,610,8,1,0,0,0,2,13,83,107,0,11,253,9,21,36,21,1,3,4,8,1,4,12,5,1,3,3,0,0
Innovationsmanagement,595,119,3,0,0,1,5,1,0,32,1,18,265,0,5,2,122,0,4,4,5,0,0,1,0,0,1,5,1,0
Stadt,574,3,0,0,0,11,156,131,60,128,0,2,17,7,1,0,11,6,4,1,9,0,2,1,5,4,6,9,0,0
Mathematik,566,9,0,0,27,0,1,2,2,5,3,29,14,2,1,382,48,0,0,8,1,4,4,14,2,7,1,0,0,0
Maschinelles Lernen,561,10,1,2,10,3,0,6,0,1,11,415,8,0,3,54,3,0,11,3,2,5,1,1,0,4,2,4,0,1
Wirtschaftspolitik,555,5,0,0,0,0,4,17,36,91,0,0,375,0,8,1,2,5,1,6,2,0,0,0,0,2,0,0,0,0
Ethik,542,21,2,0,1,1,5,3,5,54,2,28,20,54,16,2,54,3,17,15,5,1,6,203,11,8,2,1,0,2
Recht,536,5,2,0,0,2,0,3,24,53,1,12,43,17,312,0,27,1,12,2,1,1,4,11,2,0,0,1,0,0
Datenanalyse,525,6,1,0,21,2,2,31,0,43,2,172,51,0,4,135,9,1,11,7,3,5,0,0,0,13,1,1,2,2
Wirtschaftsentwicklung,522,1,0,0,0,1,9,44,58,91,0,4,287,1,4,0,4,2,1,8,2,0,1,0,1,0,1,2,0,0
Nationalsozialismus,516,4,0,0,1,0,13,3,238,158,0,0,3,20,18,0,16,1,10,3,0,0,6,8,12,0,1,1,0,0
Informationstechnik,510,8,2,0,0,1,7,5,5,35,37,184,133,0,16,4,44,0,2,14,0,0,1,6,0,0,2,4,0,0
Internet,504,6,0,0,2,0,0,5,5,96,12,158,48,7,67,2,41,0,4,31,1,0,8,3,7,0,1,0,0,0
Projektmanagement,502,19,3,0,0,33,28,0,0,19,0,71,186,0,5,12,120,0,1,3,1,0,0,0,0,0,0,1,0,0
Migration,499,0,0,0,0,0,3,80,50,186,0,0,65,13,13,0,43,1,6,6,0,0,11,3,15,0,3,1,0,0
Computersimulation,498,32,3,9,83,1,2,11,0,8,9,82,48,0,0,130,4,2,10,9,5,18,0,2,0,15,1,7,1,6
Schule,486,3,0,0,0,0,1,2,14,114,0,11,9,9,13,1,287,0,8,1,0,1,4,2,3,0,3,0,0,0
Internationaler Vergleich,483,10,0,0,0,0,11,10,21,165,1,3,127,6,19,0,80,0,5,11,1,0,3,1,3,2,3,1,0,0
Personalpolitik,478,13,0,0,0,1,1,4,2,157,1,6,199,0,5,1,69,0,15,1,0,0,0,0,0,1,1,1,0,0
Hochschule,473,10,1,0,1,1,8,4,8,66,2,8,53,0,17,1,254,0,2,20,5,2,2,4,2,0,2,0,0,0
Klimaänderung,470,1,6,0,2,17,44,74,11,46,0,0,58,1,12,2,14,18,1,97,28,2,0,2,3,21,3,7,0,0
Mathematisches Modell,459,34,5,13,65,5,4,38,0,6,7,11,43,0,0,142,4,1,16,7,9,6,0,2,0,31,0,8,0,2
Führungskraft,451,3,0,1,0,0,0,0,3,115,0,10,191,0,3,1,115,0,2,1,0,0,3,1,1,0,1,0,0,0
Neue Medien,449,6,0,0,1,0,6,5,10,98,4,48,18,7,9,7,137,0,3,49,0,1,17,8,14,0,1,0,0,0
Innovation,444,64,3,1,1,3,4,14,7,39,0,7,184,2,9,3,69,3,5,6,3,1,0,4,1,2,2,5,0,2
Theorie,442,7,1,0,4,0,12,4,11,129,2,3,65,10,14,34,61,0,2,22,0,1,11,30,16,1,1,0,0,1
Klein- und Mittelbetrieb,436,22,2,0,0,1,1,3,3,37,0,21,252,0,7,3,77,1,4,0,1,0,0,0,1,0,0,0,0,0
Marketing,436,4,0,0,0,1,1,0,0,25,2,16,328,0,5,6,23,0,7,7,0,0,0,0,0,0,9,2,0,0
Sozialer Wandel,434,7,0,0,0,0,11,12,64,196,1,17,23,13,12,2,51,0,1,9,1,0,1,7,3,0,2,1,0,0
Sozialarbeit,432,1,0,0,0,0,4,2,1,97,0,0,12,1,11,2,285,1,7,3,1,0,0,3,0,0,1,0,0,0
Außenpolitik,430,3,0,0,0,0,0,4,201,198,0,0,12,5,4,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Zukunft,418,15,1,0,0,3,13,18,21,110,1,11,115,13,7,2,27,1,2,24,6,1,0,14,10,0,1,2,0,0
Kunst,417,4,1,0,2,1,56,6,56,44,0,6,4,10,3,4,72,2,2,72,0,1,12,22,33,3,1,0,0,0
Psychologie,413,3,0,0,1,0,7,3,6,88,0,1,33,9,2,4,196,0,9,26,0,0,6,6,10,0,3,0,0,0
