Split,Type,Lang,Min,Max,Mean
train,Article,en,1,7,2.8
train,Article,de,1,8,3.2
train,Book,en,1,39,2.6
train,Book,de,1,27,2.7
train,Conference,en,1,14,2.8
train,Conference,de,1,17,3.2
train,Report,en,1,12,2.8
train,Report,de,1,15,2.6
train,Thesis,en,1,20,3.7
train,Thesis,de,1,20,3.8
dev,Article,en,1,7,2.7
dev,Article,de,1,1,1
dev,Book,en,1,24,2.6
dev,Book,de,1,19,2.7
dev,Conference,en,1,16,2.8
dev,Conference,de,1,11,3
dev,Report,en,1,13,2.9
dev,Report,de,1,12,2.6
dev,Thesis,en,1,14,3.8
dev,Thesis,de,1,19,3.8
